Motif	Factor	Evidence	Curated
GM.5.0.Forkhead.0003	FOXK2	ChIP-seq	N
GM.5.0.SMAD.0002	NFIC	ChIP-seq	Y
GM.5.0.Mixed.0006	RXRA	ChIP-seq	N
GM.5.0.Mixed.0006	TCF12	ChIP-seq	N
GM.5.0.bZIP.0007	CREB1	TRANSFAC	Y
GM.5.0.bZIP.0007	CREB1	Transfac	Y
GM.5.0.bZIP.0007	CREB1	ChIP-seq	Y
GM.5.0.C2H2_ZF.0011	ZNF274	ChIP-seq	Y
GM.5.0.C2H2_ZF.0011	ZNF274	Unknown	N
GM.5.0.Mixed.0007	CTCF	ChIP-seq	N
GM.5.0.C2H2_ZF.0012	ZBTB33	ChIP-seq	Y
GM.5.0.C2H2_ZF.0012	ZBTB33	TRANSFAC	Y
GM.5.0.bHLH.0014	TCF12	ChIP-seq	Y
GM.5.0.Mixed.0008	NR2C2	ChIP-seq	N
GM.5.0.Mixed.0008	ZBTB33	ChIP-seq	N
GM.5.0.C2H2_ZF.0015	YY1	JASPAR	Y
GM.5.0.C2H2_ZF.0015	YY1	ChIP-seq	Y
GM.5.0.C2H2_ZF.0015	USF1	ChIP-seq	N
GM.5.0.C2H2_ZF.0015	USF2	ChIP-seq	N
GM.5.0.C2H2_ZF.0015	YY1	ChIP-seq	N
GM.5.0.bHLH.0016	ATF3	ChIP-seq	N
GM.5.0.bHLH.0016	YY1	ChIP-seq	N
GM.5.0.Homeodomain_POU.0004	TBP	ChIP-seq	Y
GM.5.0.Mixed.0009	REST	ChIP-seq	N
GM.5.0.Mixed.0010	EGR1	ChIP-seq	N
GM.5.0.Ets.0006	NRF1	ChIP-seq	N
GM.5.0.Ets.0007	ELK1	JASPAR	Y
GM.5.0.bZIP.0010	JUN	ChIP-seq	Y
GM.5.0.bZIP.0010	RXRA	ChIP-seq	N
GM.5.0.bZIP.0010	TCF12	ChIP-seq	N
GM.5.0.E2F.0003	E2F1	TRANSFAC	Y
GM.5.0.E2F.0003	E2F4	ChIP-seq	Y
GM.5.0.Nuclear_receptor.0013	RXRA	SELEX	Y
GM.5.0.Nuclear_receptor.0013	RXRA	HT-SELEX	N
GM.5.0.Nuclear_receptor.0013	RXRA	JASPAR	Y
GM.5.0.E2F.0004	E2F4	Unknown	N
GM.5.0.E2F.0004	E2F4	ChIP-seq	N
GM.5.0.E2F.0004	E2F1	JASPAR	Y
GM.5.0.E2F.0004	E2F4	ChIP-seq	Y
GM.5.0.E2F.0004	E2F1	ChIP-seq	Y
GM.5.0.C2H2_ZF.0020	EGR1	ChIP-seq	N
GM.5.0.C2H2_ZF.0020	EGR1	TRANSFAC	Y
GM.5.0.C2H2_ZF.0020	EGR1	HT-SELEX	N
GM.5.0.C2H2_ZF.0020	EGR1	Transfac	Y
GM.5.0.C2H2_ZF.0020	EGR1	SELEX	Y
GM.5.0.C2H2_ZF.0020	EGR1	HT-SELEX	Y
GM.5.0.bZIP.0012	ATF3	ChIP-seq	Y
GM.5.0.bZIP.0012	ATF3	ChIP-seq	N
GM.5.0.Forkhead.0005	FOXK2	PBM	N
GM.5.0.Forkhead.0005	FOXK2	JASPAR	N
GM.5.0.Forkhead.0005	FOXK2	ChIP-seq	N
GM.5.0.Forkhead.0005	FOXK2	B1H	N
GM.5.0.Forkhead.0005	FOXK2	SELEX	N
GM.5.0.Forkhead.0005	FOXA1	ChIP-seq	Y
GM.5.0.bZIP.0013	FOS	ChIP-seq	N
GM.5.0.bZIP.0013	CEBPB	ChIP-seq	N
GM.5.0.bZIP.0013	FOS	JASPAR	Y
GM.5.0.bZIP.0013	JUN	JASPAR	Y
GM.5.0.bZIP.0013	JUNB	JASPAR	Y
GM.5.0.bZIP.0013	JUND	JASPAR	Y
GM.5.0.bZIP.0013	JUND	ChIP-seq	Y
GM.5.0.bZIP.0013	FOS	ChIP-seq	Y
GM.5.0.bZIP.0013	JUN	ChIP-seq	Y
GM.5.0.bZIP.0013	JUNB	ChIP-seq	Y
GM.5.0.bZIP.0013	ATF3	ChIP-seq	Y
GM.5.0.bZIP.0013	FOS	SMiLE-seq	Y
GM.5.0.bZIP.0013	JUN	SMiLE-seq	Y
GM.5.0.bZIP.0013	JUNB	SMiLE-seq	Y
GM.5.0.bZIP.0013	JUND	SMiLE-seq	Y
GM.5.0.bZIP.0013	TCF7L2	ChIP-seq	N
GM.5.0.bZIP.0013	JUN	ChIP-seq	N
GM.5.0.bZIP.0013	JUNB	ChIP-seq	N
GM.5.0.bZIP.0013	JUND	ChIP-seq	N
GM.5.0.Mixed.0012	REST	ChIP-seq	N
GM.5.0.E2F.0005	E2F1	SELEX	Y
GM.5.0.C2H2_ZF.0023	RXRA	ChIP-seq	N
GM.5.0.SMAD.0003	NFIC	JASPAR	Y
GM.5.0.SMAD.0003	NFIC	TRANSFAC	Y
GM.5.0.bHLH.0022	TCF12	ChIP-seq	Y
GM.5.0.bHLH.0022	TCF12	ChIP-seq	N
GM.5.0.C2H2_ZF.0024	CTCF	ChIP-seq	Y
GM.5.0.C2H2_ZF.0024	CTCF	ChIP-seq	N
GM.5.0.C2H2_ZF.0024	CTCF	JASPAR	Y
GM.5.0.C2H2_ZF.0024	CTCF	HT-SELEX	N
GM.5.0.C2H2_ZF.0024	CTCF	SELEX	Y
GM.5.0.C2H2_ZF.0024	MAX	ChIP-seq	N
GM.5.0.C2H2_ZF.0024	MXI1	ChIP-seq	N
GM.5.0.C2H2_ZF.0024	MYC	ChIP-seq	N
GM.5.0.E2F.0006	E2F1	ChIP-seq	Y
GM.5.0.E2F.0006	E2F4	JASPAR	Y
GM.5.0.E2F.0006	E2F4	ChIP-seq	Y
GM.5.0.bHLH.0023	MXI1	ChIP-seq	Y
GM.5.0.C2H2_ZF.0025	REST	JASPAR	Y
GM.5.0.C2H2_ZF.0025	REST	Transfac	Y
GM.5.0.C2H2_ZF.0025	REST	ChIP-seq	Y
GM.5.0.C2H2_ZF.0025	REST	Unknown	N
GM.5.0.C2H2_ZF.0025	REST	ChIP-seq	N
GM.5.0.C2H2_ZF.0025	REST	TRANSFAC	Y
GM.5.0.C2H2_ZF.0026	ATF3	ChIP-seq	N
GM.5.0.C2H2_ZF.0026	ZBTB33	ChIP-seq	N
GM.5.0.bZIP.0014	MAFK	SELEX	Y
GM.5.0.bZIP.0014	MAFK	HT-SELEX	N
GM.5.0.bZIP.0015	CEBPB	Unknown	N
GM.5.0.bZIP.0015	CEBPB	TRANSFAC	Y
GM.5.0.bZIP.0015	CEBPB	Transfac	Y
GM.5.0.Forkhead.0007	FOXK2	PBM	N
GM.5.0.Forkhead.0007	FOXK2	JASPAR	N
GM.5.0.Forkhead.0007	FOXK2	Transfac	N
GM.5.0.Forkhead.0007	FOXK2	DeBoer11	N
GM.5.0.Forkhead.0007	FOXK2	ChIP-seq	N
GM.5.0.Forkhead.0007	FOXK2	B1H	N
GM.5.0.Forkhead.0007	FOXK2	ChIP-seq	Y
GM.5.0.bZIP.0016	ATF2	TRANSFAC	Y
GM.5.0.bZIP.0016	CREB1	TRANSFAC	Y
GM.5.0.bZIP.0016	CREB1	Transfac	Y
GM.5.0.bZIP.0016	ATF2	Transfac	Y
GM.5.0.Forkhead.0008	FOXA1	ChIP-seq	Y
GM.5.0.Forkhead.0008	FOXA1	ChIP-seq	N
GM.5.0.Forkhead.0008	FOXA1	Unknown	N
GM.5.0.Forkhead.0008	FOXA1	JASPAR	Y
GM.5.0.Forkhead.0008	FOXM1	ChIP-seq	Y
GM.5.0.Forkhead.0008	FOXK2	PBM	N
GM.5.0.Forkhead.0008	FOXK2	JASPAR	N
GM.5.0.Forkhead.0008	FOXK2	ChIP-seq	N
GM.5.0.Forkhead.0008	RXRA	ChIP-seq	N
GM.5.0.Forkhead.0008	TCF12	ChIP-seq	N
GM.5.0.Forkhead.0008	TCF7L2	ChIP-seq	N
GM.5.0.bHLH.0026	BHLHE40	ChIP-seq	Y
GM.5.0.bHLH.0026	MAX	ChIP-seq	Y
GM.5.0.bHLH.0026	MYC	ChIP-seq	Y
GM.5.0.bHLH.0026	MAX	SELEX	Y
GM.5.0.bHLH.0026	MAX	HT-SELEX	Y
GM.5.0.bHLH.0026	MAX	HT-SELEX	N
GM.5.0.bHLH.0027	MXI1	ChIP-seq	Y
GM.5.0.bHLH.0027	MXI1	ChIP-seq	N
GM.5.0.GATA.0005	GATA2	Transfac	Y
GM.5.0.GATA.0005	GATA2	ChIP-seq	Y
GM.5.0.bZIP.0017	ATF3	ChIP-seq	Y
GM.5.0.bZIP.0017	GATA2	ChIP-seq	N
GM.5.0.bZIP.0017	JUN	ChIP-seq	Y
GM.5.0.bZIP.0017	FOS	ChIP-seq	Y
GM.5.0.bZIP.0017	MAX	ChIP-seq	N
GM.5.0.bZIP.0017	JUN	ChIP-seq	N
GM.5.0.bZIP.0017	JUNB	ChIP-seq	N
GM.5.0.bZIP.0017	JUND	ChIP-seq	N
GM.5.0.C2H2_ZF.0031	SP1	ChIP-seq	N
GM.5.0.bZIP.0018	CREB1	TRANSFAC	Y
GM.5.0.bZIP.0018	CREB1	Transfac	Y
GM.5.0.Mixed.0014	YY1	TRANSFAC	Y
GM.5.0.Forkhead.0009	FOXK2	SELEX	N
GM.5.0.Nuclear_receptor.0016	RXRA	TRANSFAC	Y
GM.5.0.Nuclear_receptor.0017	RXRA	SELEX	Y
GM.5.0.Nuclear_receptor.0019	RXRA	ChIP-seq	Y
GM.5.0.Nuclear_receptor.0019	RXRA	ChIP-seq	N
GM.5.0.Nuclear_receptor.0020	RXRA	ChIP-seq	Y
GM.5.0.Nuclear_receptor.0020	RXRA	SMiLE-seq	Y
GM.5.0.RFX.0002	RFX5	ChIP-seq	Y
GM.5.0.RFX.0002	RFX5	ChIP-seq	N
GM.5.0.bHLH.0030	MAX	Transfac	Y
GM.5.0.bHLH.0030	BHLHE40	SELEX	Y
GM.5.0.bHLH.0030	BHLHE40	HT-SELEX	Y
GM.5.0.bHLH.0030	MAX	TRANSFAC	Y
GM.5.0.bHLH.0030	MYC	TRANSFAC	Y
GM.5.0.Mixed.0015	GABPA	ChIP-seq	N
GM.5.0.C2H2_ZF.0036	JUND	ChIP-seq	N
GM.5.0.C2H2_ZF.0036	SP1	ChIP-seq	N
GM.5.0.Forkhead.0011	FOXK2	SELEX	N
GM.5.0.bZIP.0019	FOS	ChIP-seq	Y
GM.5.0.bZIP.0019	JUND	ChIP-seq	Y
GM.5.0.bZIP.0019	JUN	ChIP-seq	Y
GM.5.0.C2H2_ZF.0037	ESRRA	ChIP-seq	N
GM.5.0.C2H2_ZF.0037	CTCF	ChIP-seq	Y
GM.5.0.Mixed.0016	YY1	ChIP-seq	N
GM.5.0.bHLH.0033	BHLHE40	ChIP-seq	Y
GM.5.0.bHLH.0033	BHLHE40	ChIP-seq	N
GM.5.0.C2H2_ZF.0040	REST	ChIP-seq	Y
GM.5.0.C2H2_ZF.0040	REST	ChIP-seq	N
GM.5.0.Nuclear_receptor.0021	RXRA	COMPILED	Y
GM.5.0.Nuclear_receptor.0021	RXRA	JASPAR	Y
GM.5.0.bZIP.0021	JUND	ChIP-seq	N
GM.5.0.Nuclear_receptor.0022	ESRRA	ChIP-seq	Y
GM.5.0.Forkhead.0013	FOXK2	Transfac	N
GM.5.0.Forkhead.0013	FOXK2	ChIP-seq	N
GM.5.0.Forkhead.0014	FOXK2	Transfac	N
GM.5.0.Forkhead.0014	FOXK2	SELEX	N
GM.5.0.Forkhead.0014	FOXK2	ChIP-seq	N
GM.5.0.Sox.0013	TCF7L2	JASPAR	Y
GM.5.0.Sox.0013	TCF7L2	ChIP-seq	Y
GM.5.0.Sox.0013	TCF7L2	Unknown	N
GM.5.0.Sox.0013	TCF7L2	ChIP-seq	N
GM.5.0.Forkhead.0015	FOXK2	SELEX	N
GM.5.0.Homeodomain.0052	PBX3	ChIP-seq	Y
GM.5.0.Homeodomain.0052	PBX3	Unknown	N
GM.5.0.Homeodomain.0052	PBX3	ChIP-seq	N
GM.5.0.C2H2_ZF.0047	YY1	SELEX	Y
GM.5.0.C2H2_ZF.0047	YY1	HT-SELEX	N
GM.5.0.C2H2_ZF.0048	REST	ChIP-seq	Y
GM.5.0.C2H2_ZF.0048	REST	ChIP-seq	N
GM.5.0.bZIP.0022	ATF3	ChIP-seq	Y
GM.5.0.SMAD.0006	NFIC	SELEX	Y
GM.5.0.SMAD.0006	NFIC	JASPAR	Y
GM.5.0.Mixed.0021	TBP	ChIP-seq	N
GM.5.0.bHLH.0037	MYC	TRANSFAC	Y
GM.5.0.bHLH.0037	MAX	TRANSFAC	Y
GM.5.0.bHLH.0039	USF1	Transfac	Y
GM.5.0.Mixed.0022	E2F1	ChIP-seq	N
GM.5.0.C2H2_ZF.0050	SP1	ChIP-seq	Y
GM.5.0.C2H2_ZF.0053	ZBTB33	ChIP-seq	Y
GM.5.0.C2H2_ZF.0053	ZBTB33	JASPAR	Y
GM.5.0.C2H2_ZF.0053	ZBTB33	ChIP-seq	N
GM.5.0.CxC.0001	E2F4	ChIP-seq	N
GM.5.0.C2H2_ZF.0054	ZBTB33	ChIP-seq	N
GM.5.0.Ets.0013	ELK1	TRANSFAC	Y
GM.5.0.Ets.0013	ELK1	Transfac	Y
GM.5.0.Forkhead.0017	FOXK2	PBM	N
GM.5.0.Forkhead.0017	FOXK2	SELEX	N
GM.5.0.GATA.0007	GATA2	ChIP-seq	N
GM.5.0.Forkhead.0018	FOXA1	TRANSFAC	Y
GM.5.0.Mixed.0023	E2F4	ChIP-seq	N
GM.5.0.Mixed.0023	ELF1	ChIP-seq	N
GM.5.0.Nuclear_receptor.0032	NR2C2	ChIP-seq	Y
GM.5.0.bZIP.0024	ATF2	ChIP-seq	Y
GM.5.0.bZIP.0024	JUN	JASPAR	Y
GM.5.0.bZIP.0024	JUND	JASPAR	Y
GM.5.0.bZIP.0024	JUN	ChIP-seq	Y
GM.5.0.bZIP.0024	JUND	ChIP-seq	Y
GM.5.0.bZIP.0024	FOS	SMiLE-seq	Y
GM.5.0.bZIP.0024	JUN	SMiLE-seq	Y
GM.5.0.bZIP.0024	JUND	SMiLE-seq	Y
GM.5.0.bZIP.0024	JUN	ChIP-seq	N
GM.5.0.bZIP.0024	JUNB	ChIP-seq	N
GM.5.0.bZIP.0024	JUND	ChIP-seq	N
GM.5.0.Unknown.0007	NRF1	TRANSFAC	Y
GM.5.0.GATA.0008	GATA2	ChIP-seq	N
GM.5.0.GATA.0008	GATA2	JASPAR	Y
GM.5.0.GATA.0008	GATA2	ChIP-seq	Y
GM.5.0.Forkhead.0019	FOXK2	PBM	N
GM.5.0.Forkhead.0019	FOXK2	JASPAR	N
GM.5.0.Forkhead.0019	FOXK2	SELEX	N
GM.5.0.Forkhead.0019	FOXK2	ChIP-seq	Y
GM.5.0.TBP.0001	TBP	Transfac	Y
GM.5.0.TBP.0001	TBP	Unknown	Y
GM.5.0.TBP.0001	TBP	TRANSFAC	Y
GM.5.0.TBP.0001	TBP	JASPAR	Y
GM.5.0.TBP.0001	TBP	Unknown	N
GM.5.0.TBP.0001	TBP	ChIP-seq	N
GM.5.0.TBP.0001	TBP	ChIP-seq	Y
GM.5.0.TEA.0001	TEAD4	SELEX	Y
GM.5.0.TEA.0001	TEAD4	HT-SELEX	Y
GM.5.0.TEA.0001	TEAD4	HT-SELEX	N
GM.5.0.TEA.0001	TEAD4	ChIP-seq	Y
GM.5.0.bZIP.0026	MAFK	JASPAR	Y
GM.5.0.bZIP.0026	MAFK	SELEX	Y
GM.5.0.bZIP.0026	MAFK	Unknown	N
GM.5.0.bZIP.0026	MAFK	HT-SELEX	N
GM.5.0.Mixed.0026	EGR1	ChIP-seq	N
GM.5.0.C2H2_ZF.0064	CTCF	ChIP-seq	N
GM.5.0.Forkhead.0020	FOXK2	PBM	N
GM.5.0.Forkhead.0020	FOXK2	JASPAR	N
GM.5.0.Forkhead.0020	FOXK2	DeBoer11	N
GM.5.0.Forkhead.0020	FOXK2	B1H	N
GM.5.0.CBF_NF-Y.0002	FOS	ChIP-seq	N
GM.5.0.CBF_NF-Y.0002	E2F1	ChIP-seq	N
GM.5.0.CBF_NF-Y.0002	E2F4	ChIP-seq	N
GM.5.0.CBF_NF-Y.0002	NFYB	JASPAR	Y
GM.5.0.CBF_NF-Y.0002	NFYB	ChIP-seq	Y
GM.5.0.CBF_NF-Y.0002	PBX3	ChIP-seq	N
GM.5.0.CBF_NF-Y.0002	RFX5	ChIP-seq	N
GM.5.0.CBF_NF-Y.0002	SP1	ChIP-seq	N
GM.5.0.CBF_NF-Y.0002	USF1	ChIP-seq	N
GM.5.0.CBF_NF-Y.0002	USF2	ChIP-seq	N
GM.5.0.Mixed.0027	TCF12	ChIP-seq	N
GM.5.0.bHLH.0049	MAX	ChIP-seq	N
GM.5.0.bHLH.0049	MXI1	ChIP-seq	N
GM.5.0.Unknown.0009	NRF1	ChIP-seq	N
GM.5.0.Unknown.0009	TCF12	ChIP-seq	N
GM.5.0.C2H2_ZF.0065	MAZ	ChIP-seq	Y
GM.5.0.Forkhead.0021	FOXK2	PBM	N
GM.5.0.Forkhead.0022	FOXA1	ChIP-seq	N
GM.5.0.MADS_box.0004	SRF	ChIP-seq	N
GM.5.0.Nuclear_receptor.0039	ESRRA	HT-SELEX	N
GM.5.0.Nuclear_receptor.0039	ESRRA	SELEX	Y
GM.5.0.Forkhead.0024	FOXA1	ChIP-seq	N
GM.5.0.MADS_box.0005	RXRA	ChIP-seq	N
GM.5.0.Mixed.0028	YY1	ChIP-seq	N
GM.5.0.C2H2_ZF.0074	MAZ	ChIP-seq	Y
GM.5.0.bZIP.0029	ATF2	TRANSFAC	Y
GM.5.0.Forkhead.0025	FOXK2	SELEX	N
GM.5.0.RFX.0006	MXI1	ChIP-seq	Y
GM.5.0.RFX.0006	MXI1	ChIP-seq	N
GM.5.0.Forkhead.0026	FOXK2	SELEX	N
GM.5.0.E2F.0007	E2F4	ChIP-seq	N
GM.5.0.bZIP.0032	JUN	ChIP-seq	N
GM.5.0.bZIP.0032	JUNB	ChIP-seq	N
GM.5.0.bZIP.0032	JUND	ChIP-seq	N
GM.5.0.Forkhead.0030	FOXK2	PBM	N
GM.5.0.Forkhead.0030	FOXK2	SELEX	N
GM.5.0.Ets.0018	GATA2	ChIP-seq	N
GM.5.0.Mixed.0037	E2F1	ChIP-seq	N
GM.5.0.bHLH.0052	MYC	TRANSFAC	Y
GM.5.0.bHLH.0052	MAX	TRANSFAC	Y
GM.5.0.Mixed.0038	EGR1	ChIP-seq	N
GM.5.0.Mixed.0038	NRF1	ChIP-seq	Y
GM.5.0.MADS_box.0008	SRF	ChIP-seq	N
GM.5.0.bZIP.0034	CREB1	TRANSFAC	Y
GM.5.0.bZIP.0034	CREB1	Transfac	Y
GM.5.0.Nuclear_receptor.0047	ESRRA	HT-SELEX	N
GM.5.0.Nuclear_receptor.0047	ESRRA	SELEX	Y
GM.5.0.Mixed.0039	MAX	ChIP-seq	N
GM.5.0.bHLH.0053	USF1	Transfac	Y
GM.5.0.bHLH.0053	MAX	ChIP-seq	Y
GM.5.0.bHLH.0053	USF1	SELEX	Y
GM.5.0.bHLH.0053	MAX	ChIP-seq	N
GM.5.0.bHLH.0053	MXI1	ChIP-seq	N
GM.5.0.bHLH.0053	USF2	TRANSFAC	Y
GM.5.0.bHLH.0053	MAX	JASPAR	Y
GM.5.0.bHLH.0053	USF1	JASPAR	Y
GM.5.0.bHLH.0053	USF1	HT-SELEX	N
GM.5.0.bHLH.0054	TCF12	ChIP-seq	N
GM.5.0.Nuclear_receptor.0049	ESRRA	ChIP-seq	Y
GM.5.0.Nuclear_receptor.0049	ESRRA	ChIP-seq	N
GM.5.0.Nuclear_receptor.0049	ESRRA	JASPAR	Y
GM.5.0.C2H2_ZF.0103	REST	ChIP-seq	N
GM.5.0.MADS_box.0009	SRF	Transfac	Y
GM.5.0.MADS_box.0009	SRF	SELEX	Y
GM.5.0.MADS_box.0009	SRF	HT-SELEX	Y
GM.5.0.MADS_box.0009	SRF	ChIP-seq	N
GM.5.0.MADS_box.0009	SRF	TRANSFAC	Y
GM.5.0.MADS_box.0009	SRF	HT-SELEX	N
GM.5.0.MADS_box.0009	SRF	JASPAR	Y
GM.5.0.Forkhead.0031	FOXA1	ChIP-seq	N
GM.5.0.bZIP.0036	JUN	ChIP-seq	N
GM.5.0.bZIP.0036	JUNB	ChIP-seq	N
GM.5.0.bZIP.0036	JUND	ChIP-seq	N
GM.5.0.bZIP.0037	MAFK	ChIP-seq	Y
GM.5.0.bHLH.0058	MYC	TRANSFAC	Y
GM.5.0.bHLH.0058	MAX	TRANSFAC	Y
GM.5.0.bZIP.0039	CEBPB	ChIP-seq	N
GM.5.0.bZIP.0039	CEBPB	HT-SELEX	N
GM.5.0.bZIP.0039	CEBPB	SELEX	Y
GM.5.0.bZIP.0039	CEBPB	HT-SELEX	Y
GM.5.0.Ets.0021	ELF1	HT-SELEX	N
GM.5.0.Ets.0021	ELF1	ChIP-seq	Y
GM.5.0.Ets.0021	ELF1	SELEX	Y
GM.5.0.bZIP.0040	ATF2	TRANSFAC	Y
GM.5.0.bZIP.0040	ATF2	Transfac	Y
GM.5.0.C2H2_ZF.0116	YY1	TRANSFAC	Y
GM.5.0.bZIP.0042	CEBPB	TRANSFAC	Y
GM.5.0.bZIP.0042	CEBPB	Transfac	Y
GM.5.0.C2H2_ZF.0117	SP1	ChIP-seq	N
GM.5.0.C2H2_ZF.0118	ZNF274	ChIP-seq	Y
GM.5.0.C2H2_ZF.0118	ZNF274	ChIP-seq	N
GM.5.0.E2F.0011	E2F1	ChIP-seq	N
GM.5.0.E2F.0011	E2F1	ChIP-seq	Y
GM.5.0.Nuclear_receptor.0055	ESRRA	ChIP-seq	Y
GM.5.0.C2H2_ZF.0126	ZFX	ChIP-seq	Y
GM.5.0.C2H2_ZF.0126	ZFX	Unknown	N
GM.5.0.E2F.0012	E2F1	TRANSFAC	Y
GM.5.0.E2F.0012	E2F1	Transfac	Y
GM.5.0.bZIP.0045	E2F1	ChIP-seq	N
GM.5.0.Mixed.0047	FOXA1	ChIP-seq	N
GM.5.0.E2F.0013	E2F1	TRANSFAC	Y
GM.5.0.E2F.0013	E2F1	Transfac	Y
GM.5.0.Homeodomain.0113	PBX3	ChIP-seq	N
GM.5.0.bZIP.0050	JUNB	ChIP-seq	Y
GM.5.0.bZIP.0050	JUN	ChIP-seq	Y
GM.5.0.Ets.0025	EGR1	ChIP-seq	N
GM.5.0.Ets.0025	ELF1	ChIP-seq	N
GM.5.0.Ets.0025	GABPA	ChIP-seq	N
GM.5.0.Ets.0025	ELF1	ChIP-seq	Y
GM.5.0.Nuclear_receptor.0061	RXRA	SELEX	Y
GM.5.0.Nuclear_receptor.0061	RXRA	HT-SELEX	N
GM.5.0.Unknown.0030	NRF1	JASPAR	Y
